Hours_Studied	Attendance	Access_to_Resources	Sleep_Hours	Previous_Scores	Tutoring_Sessions	Exam_Score												
34	77	Low	7	80	0	69												
9	96	Medium	4	82	0	67												
24	100	High	6	86	2	75												
10	64	High	7	64	0	60												
17	69	Medium	9	83	2	66												
27	98	High	7	56	1	73												
20	98	Low	7	50	1	68												
14	64	Medium	6	85	0	62												
16	61	Medium	9	86	2	62												
24	66	Low	8	81	1	65												
16	100	Low	8	63	2	69												
21	67	Medium	7	96	3	64												
20	80	High	5	94	0	67												
16	94	High	9	76	0	70												
33	61	Medium	7	99	2	70												
24	84	Low	7	65	3	69												
8	71	Low	8	75	0	61												
21	94	Medium	7	96	0	69												
16	71	Medium	5	73	1	63												
25	87	Low	7	74	0	67												
15	87	Medium	4	54	1	65												
19	69	Medium	7	61	3	66												
23	61	Medium	9	58	4	63												
25	76	High	4	78	2	68												
13	72	High	7	66	0	65												
18	92	Medium	8	54	1	67												
17	92	Low	8	75	2	68												
16	78	High	6	83	0	64												
31	84	Medium	5	87	0	71												
22	84	Medium	6	92	0	69												
12	93	Medium	9	74	1	67												
26	77	Medium	4	70	2	65												
33	71	Medium	5	84	1	68												
26	71	Medium	6	51	1	67												
11	81	Medium	6	82	3	67												
17	78	High	7	70	2	66												
28	78	Medium	9	73	2	70												
16	64	Low	5	65	3	65												
23	89	Low	7	56	4	69												
25	69	Medium	7	70	1	65												
14	68	Medium	6	65	1	63												
20	77	Medium	5	98	2	67												
1	69	Medium	6	97	1	61												
14	83	Low	6	82	0	65												
18	75	High	8	95	1	66												
13	78	High	8	88	0	66												
30	81	Low	5	67	1	69												
11	68	Medium	6	80	2	63												
17	66	High	6	61	1	65												
21	95	Low	10	84	0	67												
29	77	High	7	52	2	69												
11	76	Medium	5	92	4	65												
27	61	Medium	6	79	1	65												
20	80	Low	6	53	0	65												
14	82	High	8	94	2	67												
23	82	Medium	8	94	1	66												
21	88	High	7	93	4	72												
16	67	High	7	89	3	66												
20	70	Medium	7	84	2	65												
18	92	Medium	7	70	1	69												
21	98	Low	4	57	2	68												
24	65	Low	7	64	1	64												
30	80	High	6	67	3	69												
13	69	Low	5	68	0	59												
33	62	Medium	10	78	0	68												
8	73	Medium	7	60	0	60												
19	66	High	7	59	1	62												
24	88	Medium	6	86	0	67												
22	81	High	8	50	4	68												
16	66	High	5	57	3	64												
19	60	High	7	72	3	65												
17	92	Low	6	57	2	65												
16	67	Medium	8	98	0	63												
25	84	Low	6	84	2	70												
22	73	Medium	9	72	3	66												
16	83	High	7	56	4	68												
25	73	Low	8	69	3	66												
22	63	Low	8	83	3	63												
25	69	Medium	9	98	1	66												
24	68	Medium	6	74	1	65												
15	77	Medium	8	85	1	66												
17	86	Low	4	60	2	67												
24	71	Medium	7	81	0	66												
24	60	Medium	6	62	4	63												
20	81	Medium	5	60	3	66												
21	84	Medium	6	75	1	67												
28	99	Medium	6	61	1	71												
16	84	High	7	86	1	67												
23	79	High	6	97	1	69												
19	83	Medium	7	70	2	67												
19	97	Medium	6	66	2	72												
27	93	Low	6	59	2	70												
25	73	High	7	70	0	67												
25	69	High	7	78	0	64												
28	71	Medium	8	69	1	67												
20	80	High	8	81	3	69												
24	90	Low	7	83	0	68												
18	80	Medium	8	55	2	63												
22	63	High	7	85	4	68												
19	89	Medium	7	95	0	70												
21	92	Low	8	51	0	66												
24	72	High	6	78	0	68												
15	87	Low	4	80	0	67												
33	77	High	5	85	0	69												
14	96	Low	9	69	0	66												
13	94	Medium	7	91	3	68												
27	81	Medium	7	77	2	69												
25	88	Medium	7	70	1	70												
24	95	High	8	86	1	74												
24	80	High	7	96	0	70												
20	73	Medium	7	91	1	66												
15	90	Medium	8	97	1	69												
20	69	High	6	63	0	64												
16	76	High	8	56	1	62												
26	95	High	7	77	0	70												
19	89	Medium	7	52	2	68												
15	76	Medium	6	84	0	65												
18	69	High	7	62	3	65												
22	74	High	6	73	3	71												
17	71	Medium	9	83	2	66												
15	67	Medium	4	74	0	61												
21	90	Medium	8	62	2	67												
21	70	High	4	94	0	65												
17	78	High	8	88	0	65												
17	75	High	6	80	1	65												
21	99	Medium	8	85	4	73												
11	76	Medium	7	71	1	62												
12	63	High	5	69	0	60												
16	64	Medium	9	58	1	61												
19	84	Medium	8	90	2	67												
22	84	Medium	8	69	3	70												
29	77	High	6	85	1	69												
25	77	Low	8	65	0	66												
19	62	Medium	5	90	2	64												
20	81	Medium	4	55	1	68												
14	80	Medium	5	81	1	67												
20	66	Medium	6	90	0	64												
18	64	Medium	6	83	2	65												
22	65	High	6	85	2	66												
15	64	Medium	6	76	2	63												
23	84	Medium	6	78	2	68												
29	68	High	4	53	1	66												
19	70	Medium	7	63	3	63												
22	67	Medium	7	86	1	63												
24	98	Medium	6	97	1	74												
18	94	High	9	77	1	70												
21	69	High	7	86	2	68												
20	73	Medium	7	84	0	66												
21	68	Low	8	100	0	63												
15	80	High	5	90	4	67												
20	61	Medium	7	81	1	62												
23	87	High	8	56	1	71												
29	81	Medium	7	68	2	72												
26	96	Medium	5	63	1	72												
33	67	Medium	6	93	0	68												
15	92	Low	7	72	1	66												
25	92	Medium	4	77	0	70												
21	65	Low	5	98	2	66												
33	76	Medium	10	92	1	72												
15	67	Medium	8	89	0	64												
15	70	Medium	9	57	1	63												
16	71	Medium	8	51	0	61												
7	82	High	8	56	0	62												
17	76	High	7	87	1	68												
15	98	Medium	8	71	1	68												
21	65	Medium	9	56	1	63												
22	99	Low	8	87	1	70												
31	69	Low	7	60	1	68												
26	91	Medium	7	79	1	72												
17	74	Medium	8	87	4	67												
15	66	High	6	80	1	61												
23	94	Medium	8	100	0	69												
12	72	Low	6	72	2	61												
31	86	High	6	66	3	75												
27	83	Low	5	60	0	68												
17	79	Low	6	75	1	65												
10	80	Medium	6	93	4	67												
28	89	High	10	97	3	75												
19	64	Medium	6	99	1	64												
27	87	Medium	8	77	1	70												
10	96	High	6	80	0	67												
16	62	Medium	7	79	2	63												
20	66	High	7	73	1	65												
20	89	Medium	4	58	1	67												
17	77	High	5	53	2	86												
24	76	High	6	72	3	67												
14	65	Medium	5	59	1	63												
19	80	Medium	7	94	0	66												
21	65	High	7	88	2	65												
23	79	Medium	5	81	1	67												
24	91	Medium	7	52	0	69												
13	70	High	6	81	2	66												
11	79	Medium	7	81	1	64												
28	100	Low	6	72	1	73												
22	87	Medium	8	83	1	66												
16	94	Medium	9	93	1	68												
29	77	Low	8	88	0	70												
21	91	Medium	9	74	2	69												
27	62	High	5	63	4	67												
20	65	Low	6	74	0	62												
32	68	Low	8	97	1	68												
31	76	High	9	91	1	72												
19	94	Medium	8	51	3	69												
26	74	Low	5	89	3	66												
24	86	High	6	59	1	70												
28	88	Medium	8	79	0	71												
14	83	Medium	7	90	0	65												
24	74	Medium	6	78	3	70												
26	83	Low	7	70	2	65												
9	74	High	7	66	1	62												
13	63	Medium	5	65	2	62												
8	100	Medium	8	92	1	70												
18	65	High	6	91	5	66												
24	63	Low	7	91	4	67												
29	95	Low	9	64	1	72												
20	72	Low	7	90	0	66												
30	86	Low	8	52	2	68												
12	73	Medium	5	60	1	62												
10	76	Medium	8	76	2	64												
20	70	Medium	8	70	0	65												
22	74	Low	6	56	4	66												
20	76	Low	7	52	2	64												
8	89	High	7	81	4	67												
19	80	Medium	7	66	4	69												
12	98	Medium	8	51	0	68												
24	62	Medium	6	72	2	64												
22	80	Medium	7	65	2	68												
14	83	Low	9	79	1	64												
17	97	High	9	96	0	71												
14	62	High	8	65	3	61												
20	83	Medium	7	100	4	68												
26	94	Medium	10	54	2	73												
14	70	Medium	9	54	3	64												
23	95	Medium	7	86	3	72												
17	61	Medium	7	87	5	65												
15	89	Medium	6	71	1	68												
19	97	Low	8	64	2	71												
14	86	Low	8	90	3	65												
17	78	Medium	8	98	2	66												
13	62	High	7	99	4	63												
32	97	High	5	82	1	74												
20	79	Low	7	87	2	66												
16	61	Low	8	91	2	63												
21	88	Medium	6	90	2	72												
19	79	High	7	100	1	69												
19	65	High	9	91	1	67												
24	69	High	5	83	3	66												
25	63	Medium	7	69	0	64												
17	83	Medium	9	80	4	67												
17	85	Low	7	94	4	69												
18	80	Low	6	65	2	65												
6	93	Medium	7	52	0	64												
11	94	Low	8	66	1	65												
28	85	High	7	98	2	72												
30	61	High	8	90	2	66												
19	88	Low	7	59	2	66												
23	77	High	7	51	1	67												
22	83	Medium	8	83	1	69												
38	86	High	7	79	3	73												
27	74	High	6	54	3	69												
19	97	Low	8	98	1	68												
14	65	Medium	7	81	1	61												
10	87	Low	6	83	0	63												
21	60	High	8	93	0	63												
15	97	Medium	9	67	1	68												
11	65	High	7	78	2	63												
16	64	Medium	7	79	3	66												
14	73	Medium	5	98	2	65												
30	75	High	7	57	0	68												
25	69	Medium	7	88	0	66												
20	83	Low	7	79	2	66												
29	78	Medium	6	92	2	70												
20	61	Low	8	92	0	61												
15	73	Low	7	51	2	61												
29	92	Medium	10	63	1	71												
23	88	Medium	7	59	1	67												
14	89	High	4	73	2	70												
19	88	Medium	5	95	2	69												
15	72	High	8	50	2	65												
12	64	Low	6	74	0	61												
26	71	Low	6	94	3	68												
31	93	Low	5	96	2	74												
12	99	Medium	6	83	1	67												
23	80	Medium	7	91	5	70												
16	60	Medium	8	66	1	59												
17	66	High	5	64	0	64												
16	73	Medium	8	52	2	66												
15	83	Low	5	75	1	63												
20	63	Low	8	73	0	61												
15	98	High	8	69	2	68												
22	75	Medium	6	56	3	65												
20	97	High	5	62	1	69												
19	91	Low	8	60	2	68												
15	90	Low	6	97	2	69												
17	84	Low	7	98	1	67												
25	85	High	8	50	1	70												
23	86	Medium	8	59	1	68												
14	85	Medium	6	94	0	67												
21	82	Medium	7	52	4	67												
25	99	Medium	6	97	0	75												
10	89	Low	8	69	3	63												
23	91	Medium	9	77	1	70												
16	95	Low	6	88	2	70												
23	69	High	7	62	1	64												
15	63	Low	8	55	0	59												
9	79	Low	7	90	1	63												
10	81	Medium	8	99	2	67												
20	93	High	7	83	0	68												
22	78	Medium	5	91	0	68												
15	83	Medium	7	97	2	97												
24	81	Low	9	61	1	66												
10	62	Low	7	68	3	61												
20	85	Medium	9	61	2	70												
13	93	Low	4	53	1	65												
16	66	Medium	8	87	3	64												
20	84	High	6	57	2	69												
15	84	High	6	55	1	64												
18	67	Low	9	68	2	61												
26	65	Medium	7	53	3	64												
17	99	High	6	59	0	68												
25	76	High	8	53	1	67												
13	69	Low	4	94	3	62												
23	67	Medium	9	89	2	66												
29	87	High	10	93	1	72												
5	84	Medium	8	93	4	68												
15	86	High	8	97	4	71												
23	64	Medium	7	59	3	65												
19	96	Low	5	95	2	68												
22	76	Low	9	76	2	65												
16	73	Low	8	58	1	64												
21	78	Low	8	83	2	65												
19	76	High	8	66	0	65												
27	95	Medium	7	52	3	73												
22	97	High	6	54	1	72												
22	72	Medium	10	71	1	64												
18	95	Medium	7	91	0	69												
17	91	Medium	6	66	1	69												
17	97	High	9	88	0	70												
22	70	Medium	7	53	1	83												
17	83	Medium	7	70	3	68												
22	71	High	9	56	1	84												
32	93	Medium	8	93	1	75												
25	60	High	8	98	1	67												
18	83	High	5	66	0	69												
27	74	Medium	8	99	3	71												
18	73	Low	5	88	1	66												
8	86	High	6	50	1	65												
14	94	Medium	7	74	1	70												
9	84	Low	7	92	1	66												
18	94	Medium	8	77	3	74												
20	71	Medium	8	77	0	66												
30	81	High	8	72	0	68												
22	78	High	5	70	2	68												
19	60	High	10	51	0	62												
25	82	High	7	81	2	71												
7	86	Low	9	88	2	63												
21	84	High	4	90	2	69												
25	89	Medium	7	81	3	71												
11	83	Low	5	67	1	66												
27	63	High	6	51	0	64												
22	65	Medium	7	95	3	65												
18	84	High	6	71	4	69												
24	71	Low	9	80	2	66												
34	63	High	10	60	1	67												
21	77	Low	6	57	4	65												
21	82	Low	6	54	3	65												
17	73	Medium	5	90	1	67												
15	89	Medium	9	82	1	66												
25	86	Medium	7	81	1	69												
15	73	High	7	96	1	64												
20	90	Medium	7	58	1	70												
17	86	Medium	7	59	3	68												
23	85	Low	6	59	1	68												
22	82	Medium	7	71	1	69												
26	60	Medium	7	94	3	68												
17	88	Medium	8	94	5	70												
18	75	Medium	5	80	2	67												
14	98	High	7	83	3	72												
17	93	Low	6	95	1	69												
22	84	Medium	7	81	1	69												
25	70	Medium	8	61	3	64												
14	68	Medium	6	85	2	63												
25	74	High	9	88	3	70												
28	79	Medium	4	82	0	70												
22	72	Medium	9	64	1	66												
31	81	Medium	9	70	1	70												
15	67	High	6	74	0	66												
13	99	Medium	6	57	1	68												
9	64	Medium	5	73	1	61												
29	97	Medium	8	58	1	72												
24	97	Low	7	75	1	69												
20	81	Low	6	53	0	63												
22	89	High	5	97	2	72												
13	77	Medium	10	62	1	65												
35	85	High	6	73	1	74												
21	74	Low	7	52	1	62												
21	72	Medium	7	60	0	65												
24	83	High	6	85	1	68												
23	80	Low	6	56	3	66												
21	83	Medium	6	81	3	71												
15	71	High	8	50	1	62												
23	75	High	6	73	1	65												
31	63	High	9	86	0	68												
28	62	High	6	96	4	70												
30	70	Medium	8	75	1	67												
17	63	Medium	4	92	2	63												
14	64	High	6	90	0	63												
19	93	High	6	65	0	69												
20	62	Medium	5	94	3	66												
27	86	Medium	7	82	2	70												
10	71	Medium	7	55	2	63												
29	95	Medium	4	97	0	72												
19	79	Medium	10	59	1	65												
17	72	High	7	74	2	67												
14	81	Medium	7	73	1	63												
10	75	Medium	9	81	3	65												
25	83	Medium	8	83	2	67												
20	65	Low	7	62	0	80												
12	100	Medium	4	68	2	68												
12	77	Medium	8	57	2	63												
18	74	Medium	6	56	1	64												
30	88	Medium	9	91	3	73												
18	75	Medium	6	88	2	66												
11	93	Medium	6	72	2	66												
19	78	High	5	55	0	66												
18	89	High	5	72	4	69												
4	64	High	7	65	1	59												
20	94	Medium	7	89	0	68												
19	89	Medium	6	55	1	67												
24	68	Medium	10	73	1	64												
31	66	High	8	80	0	65												
27	73	Medium	7	99	1	68												
18	99	High	4	54	0	70												
13	70	Medium	8	56	2	62												
35	78	Low	10	99	1	72												
20	61	Low	7	70	1	62												
20	76	High	6	87	1	68												
20	83	Medium	7	89	3	69												
21	98	Medium	5	66	3	73												
19	81	High	8	61	3	69												
17	93	Medium	9	64	1	67												
17	82	Low	6	88	2	65												
20	62	Low	6	92	2	63												
17	73	Medium	7	85	2	66												
16	83	Medium	6	72	1	66												
21	98	High	5	63	0	70												
18	94	Medium	6	71	2	69												
29	69	High	6	96	1	70												
4	69	Low	9	93	2	58												
27	68	Medium	9	66	3	67												
27	97	High	9	66	1	73												
8	94	Low	8	89	0	66												
18	91	High	7	71	0	70												
18	76	High	6	79	1	67												
12	80	Low	9	71	1	60												
15	79	Medium	8	62	1	65												
13	70	Medium	5	59	0	63												
31	80	High	6	57	1	72												
26	61	Medium	5	51	0	62												
28	65	Medium	4	64	6	70												
24	95	Low	8	59	2	70												
13	90	Medium	5	63	0	64												
17	77	Medium	6	54	3	64												
23	81	Low	7	67	0	67												
13	75	High	7	76	1	64												
24	90	Medium	6	97	1	72												
19	91	Low	9	67	0	66												
18	91	Medium	5	52	2	66												
24	89	High	5	68	0	71												
23	68	Low	8	91	5	66												
18	74	Low	6	67	2	64												
27	79	Low	6	65	0	66												
14	73	Low	5	96	1	62												
24	90	Medium	8	65	4	70												
24	73	Medium	7	99	3	69												
18	66	Medium	7	92	2	65												
22	76	Medium	6	84	2	70												
12	99	High	6	80	0	70												
26	69	Medium	7	61	1	67												
19	84	High	8	87	2	69												
17	77	Medium	9	67	0	62												
26	63	High	9	74	1	67												
16	80	Medium	8	55	0	65												
12	88	Medium	8	65	0	65												
11	81	High	5	76	1	65												
24	95	Low	6	73	3	69												
12	72	Medium	8	67	4	63												
31	63	High	7	74	3	66												
8	97	High	8	87	0	67												
30	75	Medium	8	73	1	69												
21	83	Medium	8	75	1	67												
19	92	Medium	5	85	1	70												
17	73	High	7	92	2	67												
22	89	Medium	6	76	2	70												
20	65	High	6	97	0	65												
27	72	Low	4	68	0	63												
21	66	Medium	7	63	0	64												
21	92	Medium	4	85	1	69												
18	69	Medium	8	59	1	60												
20	89	Medium	9	95	3	69												
22	98	Low	8	69	4	72												
10	81	Low	7	85	1	63												
12	82	Medium	9	79	0	63												
24	78	Low	7	53	0	66												
21	73	Medium	6	85	6	70												
19	79	High	7	90	1	68												
20	84	Medium	10	99	2	69												
22	99	Medium	5	71	0	72												
17	98	High	5	75	1	67												
15	94	Medium	8	94	1	68												
21	96	High	7	63	1	70												
14	79	Medium	6	59	5	68												
22	86	Medium	5	57	2	69												
10	96	Medium	4	99	1	68												
26	76	Medium	5	64	0	66												
23	98	Medium	9	88	1	72												
22	77	Medium	7	72	2	67												
26	84	High	4	62	3	70												
30	88	Medium	9	96	1	73												
26	98	Low	9	73	1	73												
9	70	Medium	9	78	1	60												
12	90	High	6	61	2	67												
16	81	Medium	7	66	3	69												
20	71	Low	7	87	1	65												
23	91	High	9	67	2	70												
16	82	High	6	75	3	68												
21	86	Low	6	56	1	66												
15	73	High	8	93	1	65												
16	79	Medium	9	87	1	64												
12	85	High	7	88	1	67												
14	76	Medium	8	59	3	65												
12	68	High	7	75	1	64												
14	98	High	7	51	0	67												
26	80	Low	6	66	2	70												
14	89	Low	5	67	3	63												
36	76	Medium	6	96	1	71												
23	74	Low	6	100	2	68												
21	76	Medium	7	81	0	67												
15	76	High	9	76	1	67												
24	82	Medium	7	72	0	68												
17	82	Medium	6	51	1	66												
21	80	Medium	8	90	0	68												
35	65	Medium	7	84	0	70												
19	80	Low	8	82	5	67												
27	67	Medium	6	90	2	67												
16	65	High	9	96	2	62												
20	97	High	9	69	0	67												
31	84	High	7	71	4	70												
16	86	High	8	99	4	72												
31	76	Medium	9	83	2	70												
24	96	High	6	93	2	94												
17	86	Medium	7	61	2	66												
24	91	Low	7	66	2	69												
26	75	Medium	5	70	0	68												
24	98	Low	8	66	2	71												
11	93	Medium	9	94	4	69												
16	94	Medium	7	76	2	67												
19	67	Medium	8	98	2	64												
20	71	Medium	9	66	1	63												
24	71	High	6	52	2	66												
21	71	Medium	8	57	2	66												
12	94	High	6	61	3	69												
22	61	Low	6	82	4	64												
24	63	Medium	8	59	1	62												
23	71	Medium	7	69	3	66												
26	68	High	8	90	4	70												
25	69	Medium	7	56	2	67												
23	92	Medium	8	54	0	68												
20	83	Low	9	77	0	67												
10	60	Medium	9	85	0	62												
23	77	Medium	8	96	1	67												
21	76	High	8	83	0	68												
22	65	Medium	7	97	2	64												
12	87	Low	7	62	2	64												
14	88	Medium	8	67	2	66												
26	89	Low	7	92	2	72												
20	89	High	8	91	2	72												
24	60	High	9	83	2	66												
20	98	Medium	7	75	4	72												
20	93	Medium	4	51	1	69												
26	96	High	10	64	2	72												
17	61	Low	6	58	1	60												
21	97	Medium	7	53	0	69												
17	92	High	8	89	0	68												
17	93	Medium	9	57	3	69												
18	64	Low	10	68	1	62												
21	90	Medium	6	99	2	71												
17	98	High	9	70	1	70												
28	87	Low	7	57	2	68												
15	83	Medium	10	84	1	68												
19	98	High	9	90	1	70												
17	78	High	7	64	0	65												
29	84	Medium	6	90	0	73												
21	79	Medium	4	64	0	66												
26	97	Medium	8	85	2	71												
11	63	Medium	9	56	2	62												
22	80	Medium	8	71	2	68												
25	87	High	4	76	1	70												
20	92	Low	5	86	0	68												
26	83	Low	8	83	2	71												
17	96	Medium	10	93	2	70												
28	98	Medium	7	59	1	72												
34	63	High	9	83	2	69												
18	76	High	5	56	1	63												
17	61	Medium	7	74	0	62												
29	73	Medium	7	76	2	68												
29	81	Medium	9	51	2	70												
17	96	Medium	6	54	1	69												
17	94	Medium	10	92	2	68												
18	65	Medium	7	64	2	65												
12	64	Low	5	67	3	59												
14	84	Medium	5	82	3	66												
14	81	Medium	6	61	0	64												
15	71	Medium	8	60	5	63												
20	96	Medium	6	71	5	72												
21	97	High	6	53	0	67												
29	76	Medium	8	96	2	94												
14	96	High	4	97	2	70												
26	75	Medium	6	72	0	66												
19	89	Medium	5	60	4	69												
20	79	Low	6	74	2	64												
24	65	Medium	7	55	1	63												
13	97	High	7	70	1	71												
22	78	Medium	7	54	1	65												
21	89	Medium	9	85	1	68												
23	75	Medium	7	64	1	64												
22	61	Low	10	76	1	64												
35	64	Medium	8	51	2	66												
16	80	Medium	6	76	1	68												
17	88	Medium	10	50	3	67												
16	73	High	7	96	1	66												
17	88	Medium	10	75	2	68												
16	88	Medium	7	55	3	66												
27	88	Medium	7	67	3	71												
29	80	High	8	52	4	71												
17	97	High	7	77	0	68												
